,t,x0,x1,x2,x3,u0,u1,u2,side
0,1631121451.7552292,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0,left
1,1631121451.7603004,0.0,0.0,0.0,3.138911744515274,1.07647705078125,0.5235443115234375,-0.2144727259615209,left
2,1631121451.768834,0.000559631857832225,0.0002721767969904387,-0.00438009813646788,3.1362308739770546,1.07647705078125,0.5235443115234375,-0.2144696430575621,left
3,1631121451.7804542,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1359454805295566,-0.0,-0.0,-0.02283147579984046,left
4,1631121451.7924297,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.135660088001983,-0.0,-0.0,-0.022831402205873985,left
5,1631121451.804426,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.13537469644082,-0.0,-0.0,-0.02283132489306894,left
6,1631121451.8164365,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1350893058925506,-0.0,-0.0,-0.022831243861531902,left
7,1631121451.8274288,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1351461176138997,-0.0,-0.0,0.004544937707926522,left
8,1631121451.8394268,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.134860727910415,-0.0,-0.0,-0.022831176278792498,left
9,1631121451.8514273,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.134461272945769,-0.0,-0.0,-0.03195639717166188,left
10,1631121451.8634226,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1340618202569757,-0.0,-0.0,-0.03195621510347024,left
11,1631121451.8754218,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.133662369971489,-0.0,-0.0,-0.031956022838919296,left
12,1631121451.887428,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1333769864766934,-0.0,-0.0,-0.022830679583663027,left
13,1631121451.8994207,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.133091604320151,-0.0,-0.0,-0.022830572523382386,left
14,1631121451.9114265,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1326921604027484,-0.0,-0.0,-0.031955513392212254,left
15,1631121451.923425,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1324067816471706,-0.0,-0.0,-0.022830300446230467,left
16,1631121451.9354243,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1321214043878407,-0.0,-0.0,-0.022830180746389317,left
17,1631121451.9474247,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.131721967590342,-0.0,-0.0,-0.03195494379991004,left
18,1631121451.9594214,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1313225339426514,-0.0,-0.0,-0.03195469181523691,left
19,1631121451.9714255,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.131037162791804,-0.0,-0.0,-0.022829692067780627,left
20,1631121451.9834244,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.130751793360219,-0.0,-0.0,-0.022829554526815343,left
21,1631121451.9954247,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.130466425694358,-0.0,-0.0,-0.0228294132688589,left
22,1631121452.007421,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.130181059840683,-0.0,-0.0,-0.02282926829401788,left
23,1631121452.0194242,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.129895695845652,-0.0,-0.0,-0.022829119602469916,left
24,1631121452.0314279,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.129952502213709,-0.0,-0.0,0.004544509444563971,left
25,1631121452.0434258,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.129667139740834,-0.0,-0.0,-0.022828997830011133,left
26,1631121452.055424,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.129723945802914,-0.0,-0.0,0.004544484966402251,left
27,1631121452.0674248,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1294385848819957,-0.0,-0.0,-0.02282887367346831,left
28,1631121452.0794237,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1294953906321665,-0.0,-0.0,0.004544460013669038,left
29,1631121452.0914254,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1292100312930047,-0.0,-0.0,-0.022828747132948024,left
30,1631121452.103424,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1292668367253342,-0.0,-0.0,0.004544434586364332,left
31,1631121452.1154208,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.129323642237215,-0.0,-0.0,0.004544440950446926,left
32,1631121452.127426,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1290382841062843,-0.0,-0.0,-0.0228286504744446,left
33,1631121452.1394243,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.129095089295866,-0.0,-0.0,0.004544415166556348,left
34,1631121452.151421,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.129151894566107,-0.0,-0.0,0.004544421619279149,left
35,1631121452.1634204,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1292086999166413,-0.0,-0.0,0.0045444280427275885,left
36,1631121452.1754215,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.129265505347102,-0.0,-0.0,0.0045444344368661405,left
37,1631121452.1874256,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1293223108571224,-0.0,-0.0,0.00454444080162375,left
38,1631121452.1994264,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.1293791164463367,-0.0,-0.0,0.004544447137142527,left
39,1631121452.211422,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.129435922114378,-0.0,-0.0,0.004544453443315888,left
40,1631121452.2234209,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.12949272786088,-0.0,-0.0,0.004544459720143834,left
41,1631121452.235421,0.0011204505046010771,0.0005418997484741337,-0.008784208414788303,3.129549533685476,-0.0,-0.0,0.00454446596769742,left
