,t,x0,x1,x2,x3,u0,u1,u2,side
0,1631104285.819298,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0,left
1,1631104285.8326774,0.0,0.0,0.0,-3.1415358394865995,1.5,0.4058990478515625,-502.65027944611137,left
2,1631104285.8561397,0.0007798102023067847,0.0002110161457475055,-0.0033765239884867414,-3.1414790253837723,1.5,0.4058990478515625,0.004545128226176587,left
3,1631104285.8711143,0.0015603284590673858,0.0004193980457562966,-0.006752338904845188,-3.1414222112816788,1.5,0.4058990478515625,0.004545128167485757,left
4,1631104285.882566,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.141365397180685,-0.0,-0.0,0.004545128079485039,left
5,1631104285.8935452,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.1413085830811593,-0.0,-0.0,0.004545127962067852,left
6,1631104285.9055414,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.141251768983467,-0.0,-0.0,0.004545127815376304,left
7,1631104285.9175408,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.1411949548879754,-0.0,-0.0,0.004545127639339341,left
8,1631104285.9295385,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.141138140795051,-0.0,-0.0,0.004545127433956964,left
9,1631104285.9415395,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.141081326705061,-0.0,-0.0,0.004545127199193644,left
10,1631104285.9535394,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.141024512618372,-0.0,-0.0,0.004545126935120436,left
11,1631104285.9655406,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.1409676985353507,-0.0,-0.0,0.004545126641701813,left
12,1631104285.9775386,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.140910884456364,-0.0,-0.0,0.0045451263189377755,left
13,1631104285.98954,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.140854070381778,-0.0,-0.0,0.00454512596686385,left
14,1631104286.0015404,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.1407972563119606,-0.0,-0.0,0.004545125585408982,left
15,1631104286.0135388,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.140740442247278,-0.0,-0.0,0.0045451251746087,left
16,1631104286.02554,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.140683628188097,-0.0,-0.0,0.004545124734463002,left
17,1631104286.037538,0.002341545725780106,0.0006251438782238998,-0.01012744474907534,-3.140626814134784,-0.0,-0.0,0.0045451242650429435,left
