,t,x0,x1,x2,x3,u0,u1,u2,side
91,1634125296.6413674,0.07403228556597506,-0.0021270170487813268,-1.1239181521244284,2.5535900500422257,1.5,0.75,0.0,left
92,1634125296.653357,0.07472089905498079,-0.0026617519385038384,-1.1384788116957159,2.5535900500422257,1.5,0.75,0.0,left
93,1634125296.6653564,0.07540165373026896,-0.003206456456201728,-1.1530394712670033,2.5535900500422257,1.5,0.75,0.0,left
94,1634125296.6773632,0.07607440526567981,-0.003761015119581463,-1.1676001308382908,2.5535900500422257,1.5,0.75,0.0,left
95,1634125296.6883583,0.07673901103179179,-0.004325310357181334,-1.1821607904095783,2.5535900500422257,1.5,0.75,0.0,left
96,1634125296.700355,0.07739533012616022,-0.004899222533297668,-1.1967214499808658,2.5535900500422257,1.5,0.75,0.0,left
97,1634125296.7123606,0.07804322340318993,-0.005482629973348687,-1.2112821095521533,2.5535900500422257,1.5,0.75,0.0,left
98,1634125296.7243547,0.07868255350363539,-0.006075408989670617,-1.2258427691234408,2.5535900500422257,1.5,0.75,0.0,left
99,1634125296.736361,0.07931318488372206,-0.0066774339077405945,-1.2404034286947283,2.5535900500422257,1.5,0.75,0.0,left
100,1634125296.7493582,0.07993498384388298,-0.007288577092820805,-1.2549640882660158,2.5535900500422257,1.5,0.75,0.0,left
101,1634125296.761362,0.08054781855710423,-0.007908708977018203,-1.2695247478373033,2.5535900500422257,1.5,0.75,0.0,left
102,1634125296.7733545,0.08115155909687347,-0.008537698086754083,-1.2840854074085908,2.5535900500422257,1.5,0.75,0.0,left
103,1634125296.7853594,0.08174607746472554,-0.009175411070637662,-1.2986460669798783,2.5535900500422257,1.5,0.75,0.0,left
104,1634125296.7973578,0.08233124761737928,-0.009821712727737792,-1.3132067265511658,2.5535900500422257,1.5,0.75,0.0,left
105,1634125296.8093545,0.0829069454934599,-0.010476466036246773,-1.3277673861224533,2.5535900500422257,1.5,0.75,0.0,left
106,1634125296.8213618,0.08347304903980102,-0.011139532182530228,-1.3423280456937408,2.5535900500422257,1.5,0.75,0.0,left
107,1634125296.8333554,0.08402943823732113,-0.01181077059055684,-1.3568887052650282,2.5535900500422257,1.5,0.75,0.0,left
108,1634125296.845355,0.08457599512646873,-0.012490038951701754,-1.3714493648363157,2.5535900500422257,1.5,0.75,0.0,left
109,1634125296.8573627,0.08511260383223071,-0.013177193254917292,-1.3860100244076032,2.5535900500422257,1.5,0.75,0.0,left
110,1634125296.8693557,0.08563915058869906,-0.013872087817264598,-1.4005706839788907,2.5535900500422257,1.5,0.75,0.0,left
111,1634125296.8813555,0.08615552376319013,-0.014574575314799741,-1.4151313435501782,2.5535900500422257,1.5,0.75,0.0,left
112,1634125296.893364,0.0866616138799119,-0.015284506813807731,-1.4296920031214657,2.5535900500422257,1.5,0.75,0.0,left
113,1634125296.9053621,0.08715731364317374,-0.01600173180237781,-1.4442526626927532,2.5535900500422257,1.5,0.75,0.0,left
114,1634125296.9173555,0.08764251796013409,-0.016726098222313347,-1.4588133222640407,2.5535900500422257,1.5,0.75,0.0,left
115,1634125296.929355,0.08811712396308113,-0.017457452501369545,-1.4733739818353282,2.5535900500422257,1.5,0.75,0.0,left
116,1634125296.9413617,0.08858103103124167,-0.01819563958581216,-1.4879346414066157,2.5535900500422257,1.5,0.75,0.0,left
117,1634125296.9533553,0.08903414081211358,-0.018940502973290283,-1.5024953009779032,2.5535900500422257,1.5,0.75,0.0,left
118,1634125296.9653664,0.08947635724231755,-0.019691884746016273,-1.5170559605491907,2.5535900500422257,-0.0,-0.0,0.0,left
119,1634125296.9773674,0.08947635724231755,-0.019691884746016273,-1.5170559605491907,2.553629383914329,-0.0,-0.0,0.003146709768273581,left
120,1634125296.9893563,0.08947635724231755,-0.019691884746016273,-1.5170559605491907,2.5536687198492363,-0.0,-0.0,0.0031468747925700313,left
121,1634125297.0013707,0.08947635724231755,-0.019691884746016273,-1.5170559605491907,2.5537080578469875,0.111785888671875,0.0558929443359375,0.003147039820099451,left
122,1634125297.0133665,0.08950849414457666,-0.019748354569496387,-1.5181409195338913,2.5535900500422257,0.3117828369140625,0.15589141845703125,-0.009440624380943063,left
123,1634125297.025362,0.08959795647872512,-0.019905952121480424,-1.5211674286995418,2.5535900500422257,0.3823699951171875,0.19118499755859375,0.0,left
124,1634125297.0373654,0.0897070874913124,-0.02009956069080012,-1.5248791349189925,2.5535900500422257,0.4058990478515625,0.20294952392578125,0.0,left
125,1634125297.049363,0.0898221702221444,-0.02030551149141015,-1.5288192401563767,2.5535900500422257,0.4764862060546875,0.23824310302734375,0.0,left
126,1634125297.0613675,0.0899563125814708,-0.020547808217253192,-1.5334445424475611,2.5535900500422257,0.51177978515625,0.255889892578125,0.0,left
127,1634125297.0733588,0.09009918569158415,-0.020808715606393424,-1.5384124432656456,2.5535900500422257,0.51177978515625,0.255889892578125,0.0,left
128,1634125297.0853672,0.0902407608819438,-0.021070329552459122,-1.5433803440837301,2.5535900500422257,0.441192626953125,0.2205963134765625,0.0,left
129,1634125297.0973632,0.09036168741666786,-0.021296463969170985,-1.5476630478480145,2.5535900500422257,0.4058990478515625,0.20294952392578125,0.0,left
130,1634125297.1093614,0.09047204831953808,-0.02150498312494651,-1.5516031530853986,2.5535900500422257,0.4058990478515625,0.20294952392578125,0.0,left
131,1634125297.121365,0.09058158678047239,-0.021713935494599997,-1.5555432583227828,2.5535900500422257,0.4058990478515625,0.20294952392578125,0.0,left
132,1634125297.1333647,0.09069030109895092,-0.021923317834269356,-1.559483363560167,2.5535900500422257,0.347076416015625,0.1735382080078125,0.0,left
133,1634125297.1453888,0.0907825544561483,-0.0221027214980182,-1.5628524712527176,2.5535900500422257,0.347076416015625,0.1735382080078125,0.0,left
134,1634125297.1573734,0.09087420286064735,-0.02228243495448008,-1.5662215789452683,2.5535900500422257,0.3117828369140625,0.15589141845703125,0.0,left
135,1634125297.1693606,0.09095598733239643,-0.022444150129412345,-1.5692480881109188,2.5535900500422257,0.2764892578125,0.13824462890625,0.0,left
136,1634125297.1813574,0.09102807950380526,-0.022587778115089822,-1.5719319987496692,2.5535900500422257,0.2764892578125,0.13824462890625,0.0,left
137,1634125297.1933672,0.09109978593134474,-0.022731599072177915,-1.5746159093884196,2.5535900500422257,0.2764892578125,0.13824462890625,0.0,left
138,1634125297.2053719,0.0911711060984868,-0.02287561196468077,-1.57729982002717,2.5535900500422257,0.2764892578125,0.13824462890625,0.0,left
139,1634125297.2173612,0.09124203949148575,-0.023019815755219948,-1.5799837306659203,2.5535900500422257,0.3117828369140625,0.15589141845703125,0.0,left
140,1634125297.2293603,0.091321590739976,-0.023182641111004276,-1.5830102398315709,2.5535900500422257,0.3823699951171875,0.19118499755859375,0.0,left
141,1634125297.2413678,0.09141854746387157,-0.023382624234576696,-1.5867219460510216,2.5535900500422257,0.4058990478515625,0.20294952392578125,0.0,left
142,1634125297.2533653,0.09152068173652533,-0.02359529383173894,-1.5906620512884058,2.5535900500422257,0.51177978515625,0.255889892578125,0.0,left
143,1634125297.2653604,0.0916484007117494,-0.023863944636072654,-1.5956299521064903,2.5535900500422257,0.5470733642578125,0.27353668212890625,0.0,left
144,1634125297.2773707,0.09178349914944266,-0.02415179695845239,-1.600940451451475,2.5535900500422257,0.60589599609375,0.302947998046875,0.0,left
145,1634125297.289362,0.09193142858871754,-0.024471389930477483,-1.606821948341293,2.5535900500422257,0.6411895751953125,0.32059478759765625,0.0,left
146,1634125297.301362,0.0920859830780564,-0.02481051413754419,-1.6130460437580114,2.5535900500422257,0.6411895751953125,0.32059478759765625,0.0,left
147,1634125297.3133655,0.09223842384593885,-0.02515059373158187,-1.6192701391747297,2.5535900500422257,0.6411895751953125,0.32059478759765625,0.0,left
